name	phone	id	city
texoma		GCrMmjxcbqNTDnwAH7gg	
the ac guy hvac & refrigeration $59 service	+14692472731	7egOaFgTm6BakUvUzLBk	
thomas	+8707738193	pFYb7Ub9h9wOKQLt6g3V	
tl central heating & air, llc	+19723822663	S37l8XwsWBTxWExJgc8Q	
tri j's a/c & industrial supply	+19035726691	3stlDuNdNepemg0b8IFc	
triple	+8703305024	iMrNYPOJ1EmNxTAMUz6d	
tx dependable air conditioning & heating llc	+14693580358	wngdZIEzMFxLkqasV6F7	
tyler hvac	+19032160675	58cYzakReaiSl9mcCHRu	
vazquez commercial refrigeration & hvac llc	+14695635746	pJHVuECVlrtb1pOimYoc	
vertex air conditioning repair	+15126771534	ia0ikdlrh075FrnzKhRY	
victory hvac services	+14694574770	GxK3WKNAmRNEahrfNwAn	
willard	+9725649785	2NJPGTcE5OaTbBSVlzyU	
